评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
24年06月26日 14:48,少了人力也就是成本降低了，iPhone会降价吗？😂,来自辽宁,少了人力也就是成本降低了，iPhone会降价吗？😂,北京 东城区,女
24年06月26日 14:47,iPhone 15 的组装线能自动化吗？,来自天津,iPhone 15 的组装线能自动化吗？,北京,女
24年06月26日 14:30,苹果真是科技前沿啊，iPhone的时代还会继续！,来自江西,苹果真是科技前沿啊，iPhone的时代还会继续！,北京 东城区,女
24年06月26日 14:29,未来的iPhone会有更多AI功能吧，期待ing📱,来自浙江,未来的iPhone会有更多AI功能吧，期待ing📱,其他,女
24年06月26日 14:25,自动化生产的iPhone会更好用吗？期待中✨,来自江苏,自动化生产的iPhone会更好用吗？期待中✨,北京 东城区,女
24年06月26日 12:09,这个技术感觉未来用在医疗或者康复领域会很有帮助吧,来自辽宁,这个技术感觉未来用在医疗或者康复领域会很有帮助吧,北京 东城区,女
24年06月26日 12:06,这个如果开放源码的话我就更爱了,来自辽宁,这个如果开放源码的话我就更爱了,北京 东城区,女
24年06月26日 12:05,哇！这个技术好高级,来自江西,哇！这个技术好高级,北京 东城区,女
24年06月26日 12:05,哇塞 这不就是未来么,来自贵州,哇塞 这不就是未来么,北京 东城区,女
24年06月26日 12:04,元梦之星这么牛逼吗？,来自贵州,元梦之星这么牛逼吗？,北京 东城区,女
24年06月26日 12:01,这个技术将来会被广泛应用在游戏中么,来自辽宁,这个技术将来会被广泛应用在游戏中么,北京 东城区,女
24年06月26日 12:01,AI现在越来越多了 哇塞 真是厉害,来自辽宁,AI现在越来越多了 哇塞 真是厉害,北京 东城区,女
24年06月26日 12:00,哇！这要是在家里装上就好了,来自云南,哇！这要是在家里装上就好了,北京 东城区,女
24年06月26日 12:00,中国科研的实力越来越强大了！,来自安徽,中国科研的实力越来越强大了！,北京 东城区,女
24年06月26日 12:00,感觉这个技术和黑客帝国里的那个很相似哎,来自辽宁,感觉这个技术和黑客帝国里的那个很相似哎,北京 东城区,女
24年06月26日 11:59,这个技术也算是一个突破了，以后会更好,来自云南,这个技术也算是一个突破了，以后会更好,北京 东城区,女
24年06月26日 11:58,这个智能交互系统好酷啊！😎,来自贵州,这个智能交互系统好酷啊！😎,北京 东城区,女
24年06月26日 11:58,这个在全球是领先的吧,来自山东,这个在全球是领先的吧,北京 东城区,女
24年06月26日 11:58,这技术和黑豹里的技术很像哎,来自浙江,这技术和黑豹里的技术很像哎,其他,女
24年06月26日 11:56,哇！我也能像电影里一样跟机器人多交流了吗,来自江苏,哇！我也能像电影里一样跟机器人多交流了吗,北京 东城区,女
24年06月26日 11:56,脑科学领域的突破，让人类进入智能交互的新阶段！🧠,来自江苏,脑科学领域的突破，让人类进入智能交互的新阶段！🧠,北京 东城区,女
24年06月26日 11:55,这个技术感觉未来会很普及,来自江苏,这个技术感觉未来会很普及,北京 东城区,女
24年06月26日 11:54,好奇这个技术以后会用在哪些地方呢,来自江西,好奇这个技术以后会用在哪些地方呢,北京 东城区,女
24年06月26日 11:54,中国是真牛啊，不愧是我大国！,来自云南,中国是真牛啊，不愧是我大国！,北京 东城区,女
24年06月26日 11:53,未来，智能交互系统一定会更加智能化！✨,来自江苏,未来，智能交互系统一定会更加智能化！✨,北京 东城区,女
24年06月26日 11:50,科技真是时尚的推动力，期待 MetaBOC 的实用性。👓,来自安徽,科技真是时尚的推动力，期待 MetaBOC 的实用性。👓,北京 东城区,女
24年06月26日 11:50,国产AI技术领先世界,来自江苏,国产AI技术领先世界,北京 东城区,女
24年06月26日 11:43,请问这个成果会对未来的人工智能行业有什么影响呢,来自广东,请问这个成果会对未来的人工智能行业有什么影响呢,北京 东城区,女
24年06月26日 11:43,感觉这个技术和黑镜里的未来世界很接近,来自云南,感觉这个技术和黑镜里的未来世界很接近,北京 东城区,女
24年06月26日 11:40,人工智能时代来临，智能交互系统是其中之一，好期待！🌟,来自天津,人工智能时代来临，智能交互系统是其中之一，好期待！🌟,北京,女
24年06月26日 11:38,哇！这个技术听起来好高端,来自云南,哇！这个技术听起来好高端,北京 东城区,女
24年06月26日 11:38,这个技术是不是未来VR/AR游戏的曙光,来自江苏,这个技术是不是未来VR/AR游戏的曙光,北京 东城区,女
24年06月26日 11:37,感觉未来医疗方面会有很大突破,来自贵州,感觉未来医疗方面会有很大突破,北京,女
24年06月26日 11:34,这个技术能应用在医疗护理机器人大身上么,来自广东,这个技术能应用在医疗护理机器人大身上么,北京 东城区,女
24年06月26日 11:33,想入手了,来自广东,想入手了,北京 东城区,女
24年06月26日 11:31,这个技术能应用在虚拟现实或者增强现实中么,来自四川,这个技术能应用在虚拟现实或者增强现实中么,北京 东城区,女
24年06月26日 11:29,国内在AI领域的进步真迅猛,来自安徽,国内在AI领域的进步真迅猛,北京 东城区,女
24年06月26日 11:29,这个技术如果应用到医疗方面会不会有很大突破,来自贵州,这个技术如果应用到医疗方面会不会有很大突破,北京 东城区,女
24年06月26日 11:29,这个技术未来会在哪方面得到广泛应用呢,来自云南,这个技术未来会在哪方面得到广泛应用呢,北京 东城区,女
24年06月26日 11:28,"是不是多做事就会被罚款啊<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自山东,是不是多做事就会被罚款啊[doge],北京 东城区,女
24年06月26日 11:24,这真是人工智能世界的又一突破，点赞！👍,来自江苏,这真是人工智能世界的又一突破，点赞！👍,北京 东城区,女
24年06月26日 11:24,这技术感觉未来会在医疗和教育方面有很大应用,来自云南,这技术感觉未来会在医疗和教育方面有很大应用,北京 东城区,女
24年06月26日 11:23,MetaBOC 实现了人类大脑的功能复刻，太厉害了！🤯,来自江苏,MetaBOC 实现了人类大脑的功能复刻，太厉害了！🤯,北京 东城区,女
24年06月26日 11:21,这个技术在医疗方面应该很有帮助吧,来自贵州,这个技术在医疗方面应该很有帮助吧,北京 东城区,女
24年06月26日 11:21,抓握等任务的无人控制，太厉害了！💪,来自辽宁,抓握等任务的无人控制，太厉害了！💪,北京 东城区,女
24年06月26日 11:20,这个技术太酷了！希望将来能广泛应用在游戏中,来自福建,这个技术太酷了！希望将来能广泛应用在游戏中,北京 东城区,女
24年06月26日 11:17,哇！这个我一定要试试,来自贵州,哇！这个我一定要试试,北京 东城区,女
24年06月26日 11:16,感觉这个技术以后会改变我们的生活啊,来自辽宁,感觉这个技术以后会改变我们的生活啊,北京 东城区,女
24年06月26日 11:16,支持开源！期待更多的创新,来自江苏,支持开源！期待更多的创新,北京 东城区,女
24年06月26日 11:16,这技术好高端啊,来自江苏,这技术好高端啊,北京 东城区,女
24年06月26日 11:15,这个技术如果广泛应用的话会不会导致大量工作岗位被取代啊,来自安徽,这个技术如果广泛应用的话会不会导致大量工作岗位被取代啊,北京 东城区,女
24年06月26日 11:14,把脑子装手机里这种想法太酷了,来自河北,把脑子装手机里这种想法太酷了,北京 东城区,女
24年06月26日 11:13,"你别说我早上起来从梳妆台到厕所都要爬好几次才能爬下来玩手机<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自贵州,你别说我早上起来从梳妆台到厕所都要爬好几次才能爬下来玩手机[允悲],北京,女
24年06月26日 11:33,这个在国内有没有可能像Neuralink那样用于医疗或者教育等领域,来自广东,这个在国内有没有可能像Neuralink那样用于医疗或者教育等领域,北京 东城区,女
24年06月26日 08:59,国内用不了……,来自北京,国内用不了……,北京 海淀区,男
24年06月26日 08:41,不,来自江西,不,江西 宜春,女
24年06月21日 20:40,"《日本经济新闻》6月20日发表题为《保护客服身心健康 把难缠客户交给AI》的报道。<a href=""//s.weibo.com/weibo?q=%23%E6%97%A5%E4%BC%81%E7%94%A8AI%E5%BA%94%E5%AF%B9%E9%9A%BE%E7%BC%A0%E5%AE%A2%E6%88%B7%23"" target=""_blank"">#日企用AI应对难缠客户#</a> 你觉得这个主意怎么样？<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E4%BD%A0%E5%A5%BD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E6%97%B6%E4%BB%A3%23"" target=""_blank"">#你好人工智能时代#</a> ",来自北京,《日本经济新闻》6月20日发表题为《保护客服身心健康 把难缠客户交给AI》的报道。#日企用AI应对难缠客户# 你觉得这个主意怎么样？[doge]#你好人工智能时代# ,北京,男
24年08月23日 10:10,"<img alt=""[酷]"" title=""[酷]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c4/2018new_ku_org.png"" />",来自北京,[酷],北京,女
24年07月23日 22:11,"但总是慢一步<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,但总是慢一步[doge],北京,男
24年07月23日 21:29,工具包会不停迭代兼容,来自广东,工具包会不停迭代兼容,广东,男
24年07月23日 23:08,有专利应该也快过期了，毕竟只有20年保护期,来自北京,有专利应该也快过期了，毕竟只有20年保护期,北京 崇文区,男
24年07月23日 20:38,开源的告不了一点,来自中国香港,开源的告不了一点,广东 珠海,男
24年09月17日 21:15,"回复<a href=/n/Simon的白日梦 usercard=""name=@Simon的白日梦"">@Simon的白日梦</a>:谢了，已经在autodl起了一个货，用python批量叫他的api的方式处理了",来自北京,回复@Simon的白日梦:谢了，已经在autodl起了一个货，用python批量叫他的api的方式处理了,其他,男
24年09月17日 16:32,"回复<a href=/n/Simon的白日梦 usercard=""name=@Simon的白日梦"">@Simon的白日梦</a>:<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />谢谢分享~",来自北京,回复@Simon的白日梦:[爱你]谢谢分享~,其他,男
24年09月17日 13:24,我一般是用ollama挂一个lvm模型（例如llava/minicpm），然后在comfyui用插件调用做标注；,来自广西,我一般是用ollama挂一个lvm模型（例如llava/minicpm），然后在comfyui用插件调用做标注；,其他,男
24年09月12日 16:04,"回复<a href=/n/就一口求你了 usercard=""name=@就一口求你了"">@就一口求你了</a>:没测 但是中文应该是不支持的 毕竟本来底模就不支持中文输入 不过可以用controlnet曲线救国",来自广西,回复@就一口求你了:没测 但是中文应该是不支持的 毕竟本来底模就不支持中文输入 不过可以用controlnet曲线救国,其他,男
24年09月12日 15:08,"回复<a href=/n/Simon的白日梦 usercard=""name=@Simon的白日梦"">@Simon的白日梦</a>:请教一下，目前是不是还不支持中文？",来自河北,回复@Simon的白日梦:请教一下，目前是不是还不支持中文？,北京 朝阳区,男
24年09月12日 10:28,Flux生成得挺好了已经,来自广西,Flux生成得挺好了已经,其他,男
24年09月10日 08:38,"回复<a href=/n/名字被发现了只能改 usercard=""name=@名字被发现了只能改"">@名字被发现了只能改</a>:mate60pro，拍照了看图识物的选项",来自重庆,回复@名字被发现了只能改:mate60pro，拍照了看图识物的选项,重庆,男
24年09月10日 08:17,啥手机呀,来自北京,啥手机呀,河北 廊坊,女
24年08月31日 08:56,"巨佬<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广西,巨佬[doge],其他,男
